Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
IN-0163,IN-0163-A,Indy with Kids,,Westfield,,IN,https://indywithkids.com/,indywithkids.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://indywithkids.com/ | https://indywithkids.com/about-contact/ | https://indywithkids.com/our-contributors-the-playindy-team/ | https://indywithkids.com/ims-kids-club/
IN-0164,IN-0164-A,International School of Indiana,,Indianapolis,,IN,https://www.isind.org/,isind.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.isind.org/ | https://www.isind.org/about | https://www.isind.org/about/mission | https://www.isind.org/about/leadership | https://www.isind.org/about/campuses-and-facilities | https://www.isind.org/about/campuses-and-facilities/facility-rental | https://www.isind.org/about/traditions
IN-0165,IN-0165-A,IU Campus Recreational Sports,,,,IN,https://www.iurecsports.org/,iurecsports.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.iurecsports.org/ | https://www.iurecsports.org/Staff_Directory | https://www.iurecsports.org/facilities | https://www.iurecsports.org/facility_use | https://www.iurecsports.org/node/675 | https://www.iurecsports.org/sign_up_contact | https://www.iurecsports.org/meet_the_trainers
IN-0166,IN-0166-A,IU Indy Athletics,,Indianapolis,,IN,https://iuindyjags.com/,iuindyjags.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://iuindyjags.com/ | https://iuindyjags.com/sports/2007/12/14/GEN_1214074552 | https://iuindyjags.com/sports/2008/5/5/GEN_0505085012 | https://iuindyjags.com/staff-directory | https://iuindyjags.com/facilities | https://iuindyjags.com/sports/2008/9/30/GEN_0930082144.aspx | https://iuindyjags.com/honors/iu-indianapolis-athletics-hall-of-fame
IN-0167,IN-0167-A,JCC Indianapolis,,Indianapolis,,IN,https://jccindy.org/,jccindy.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://jccindy.org/ | https://jccindy.org/aquatics-programs | https://jccindy.org/adult-basketball | https://jccindy.org/adult-sports-leagues | https://jccindy.org/teen-programs | https://jccindy.org/about
IN-0168,IN-0168-A,Kosciusko Community YMCA,,Warsaw,,IN,https://www.kcymca.org/,kcymca.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.kcymca.org/ | https://www.kcymca.org/youth-programs/ | https://www.kcymca.org/youth-programs/ymca-youth-swim-lessons/ | https://www.kcymca.org/youth-programs/swim-club/ | https://www.kcymca.org/youth-programs/ymca-gymnastics-programs/ | https://www.kcymca.org/youth-programs/ymca-youth-sports-programs/ | https://www.kcymca.org/youth-programs/ymca-childcare-camps-and-more/
IN-0169,IN-0169-A,KPCNews,2026 kpcnews.com 102 N. Main St.,Kendallville,,IN,https://www.kpcnews.com/,kpcnews.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.kpcnews.com/ | https://www.kpcnews.com/thestar/article_cef3f484-38d1-480c-a856-1a48ffd14838.html | https://www.kpcnews.com/special/pdf_be970dda-4417-42f3-b5d4-307a058c43b2.html | https://www.kpcnews.com/site/about.html | https://www.kpcnews.com/site/contact.html
IN-0170,IN-0170-A,Krush Fitness,,Merrillville,,IN,https://krushfitnessin.com/,krushfitnessin.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://krushfitnessin.com/
IN-0171,IN-0171-A,LEGACY FUTBOL LEAGUE,2920 Conservation Club Road,Lafayette,,IN,https://lafayettefutsal.com/,lafayettefutsal.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://lafayettefutsal.com/ | https://lafayettefutsal.com/page/lfl-staff | https://lafayettefutsal.com/page/lfl-coaching-staff | https://lafayettefutsal.com/contact | https://lafayettefutsal.com/program/23803 | https://lafayettefutsal.com/program/23806 | https://lafayettefutsal.com/program/23807
IN-0172,IN-0172-A,localsolution.com,,Rochester,,IN,https://www.localsolution.com/,localsolution.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.localsolution.com/ | https://www.localsolution.com/b/montrose-ca/los-angeles-bounce-house-and-party-rentals
IN-0173,IN-0173-A,Love Community Center,1850 N Main Street,Rushville,,IN,https://www.lovecommunitycenter.org/,lovecommunitycenter.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.lovecommunitycenter.org/ | https://www.lovecommunitycenter.org/about | https://www.lovecommunitycenter.org/our-team | https://www.lovecommunitycenter.org/contact | https://www.lovecommunitycenter.org/memberships
IN-0174,IN-0174-A,Marian University Ind.,,,,IN,https://muknights.com/,muknights.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://muknights.com/ | https://muknights.com/sports/2023/2/21/knights-athletics-history.aspx | https://muknights.com/staff-directory | https://muknights.com/facilities/ascension-st-vincent-field/1 | https://muknights.com/facilities/athletic-training-center/12 | https://muknights.com/facilities/drew-family-health-fitness-center/5 | https://muknights.com/facilities/indy-cycloplex/6
IN-0175,IN-0175-A,Marion Pickleball: Where to Play & Get Started,,Marion,,IN,https://marionpickleball.com/,marionpickleball.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://marionpickleball.com/
IN-0176,IN-0176-A,Michiana Pickleball,,Granger,,IN,https://www.michianapickleballclub.org/,michianapickleballclub.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.michianapickleballclub.org/ | https://www.michianapickleballclub.org/membership | https://www.michianapickleballclub.org/blank-6 | https://www.michianapickleballclub.org/about | https://www.michianapickleballclub.org/membership-terms | https://www.michianapickleballclub.org/copy-of-membership-terms
IN-0177,IN-0177-A,Michiana Pickleball,,Mishawaka,,IN,https://michianapickleball.com/,michianapickleball.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://michianapickleball.com/
IN-0178,IN-0178-A,Mishawaka Fieldhouse,,Mishawaka,,IN,https://mishawakafh.com/,mishawakafh.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://mishawakafh.com/ | https://mishawakafh.com/contact-us/ | https://mishawakafh.com/our-facility/ | https://mishawakafh.com/staff/ | https://mishawakafh.com/programs/ | https://mishawakafh.com/programs/basketball/ | https://mishawakafh.com/programs/pickleball/
IN-0179,IN-0179-A,Northwest Indiana Living,,Merrillville,,IN,https://nwindianaliving.com/,nwindianaliving.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://nwindianaliving.com/ | https://nwindianaliving.com/about-northwest-indiana-living/ | https://nwindianaliving.com/northgate-park-dyer-indiana/ | https://nwindianaliving.com/contact-us/
IN-0180,IN-0180-A,Options for all - indysouthmag.com,30 S Water St,Franklin,,IN,https://www.indysouthmag.com/,indysouthmag.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.indysouthmag.com/ | https://www.indysouthmag.com/contact-us/ | https://www.indysouthmag.com/about-us/ | https://www.indysouthmag.com/2022/12/08/leadership-development/
IN-0181,IN-0181-A,PadelCourtsNearMe,0 20099 N East St,Westfield,46074,IN,https://www.padelcourtsnearme.us/,padelcourtsnearme.us,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.padelcourtsnearme.us/ | https://www.padelcourtsnearme.us/courts/10by20-ft-lauderdale-fort-lauderdale-florida | https://www.padelcourtsnearme.us/courts/6-love-sports-miami-beach-florida | https://www.padelcourtsnearme.us/courts/access-padel-hillsborough-new-jersey | https://www.padelcourtsnearme.us/courts/alma-padel-glenview-illinois | https://www.padelcourtsnearme.us/courts/and-padel-oakland-new-jersey
IN-0182,IN-0182-A,Pearson Automotive Tennis Club,,Zionsville,,IN,https://www.pearsontennis.com/,pearsontennis.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.pearsontennis.com/ | https://www.pearsontennis.com/pros-staff/ | https://www.pearsontennis.com/leadership-team/ | https://www.pearsontennis.com/contact/
IN-0183,IN-0183-A,Pickle Grove Pickleball,40 W Old Plank Rd,Bargersville,46106,IN,https://picklegrovepickleball.com/,picklegrovepickleball.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://picklegrovepickleball.com/
IN-0184,IN-0184-A,Pickle On Penn,,Carmel,,IN,https://www.pickleonpenn.com/,pickleonpenn.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.pickleonpenn.com/ | https://www.pickleonpenn.com/programming | https://www.pickleonpenn.com/contact | https://www.pickleonpenn.com/events/4jheixos211yzdtfrsy5wilenrwnux | https://www.pickleonpenn.com/events/1t4nfqpu57mla3ngurwkhi15x6nm8n | https://www.pickleonpenn.com/events/ejj5xiljj53ur4j1w9smnfbd1x0jwf | https://www.pickleonpenn.com/events/h1ne9rxb76paxshtrb8bzfpyrzwk1y
IN-0185,IN-0185-A,Play Padel US,20099 North East Street,Westfield,46074,IN,https://playpadelus.com/,playpadelus.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://playpadelus.com/ | https://playpadelus.com/padel-courts | https://playpadelus.com/about | https://playpadelus.com/padel-courts/miami | https://playpadelus.com/padel-courts/austin | https://playpadelus.com/padel-courts/houston | https://playpadelus.com/padel-courts/san-diego
IN-0186,IN-0186-A,Play Pickleball in Anderson,,Anderson,,IN,https://andersonpickleball.com/,andersonpickleball.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://andersonpickleball.com/
IN-0187,IN-0187-A,Portage Pickleball Courts & Tournaments,,Portage,,IN,https://portagepickleball.com/,portagepickleball.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://portagepickleball.com/
IN-0188,IN-0188-A,Precision Fieldhouse at finch creek,,Noblesville,,IN,https://finchcreekfh.com/,finchcreekfh.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://finchcreekfh.com/ | https://finchcreekfh.com/about-us/ | https://finchcreekfh.com/about-us/sponsorships/ | https://finchcreekfh.com/baseball/batting-cage-memberships/ | https://finchcreekfh.com/softball/batting-cage-membership/ | https://finchcreekfh.com/events/
IN-0189,IN-0189-A,Purdue Boilermakers - Official Athletics Website,,West Lafayette,,IN,https://purduesports.com/,purduesports.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://purduesports.com/ | https://purduesports.com/purdue-athletics-promotions | https://purduesports.com/facilities | https://purduesports.com/sports/general/news | https://purduesports.com/connors-empower-program | https://purduesports.com/staff-directory/department/strength-conditioning | https://purduesports.com/staff-directory/department/sports-medicine-athletic-training
IN-0190,IN-0190-A,Purdue Fort Wayne Athletics,,Fort Wayne,,IN,https://gomastodons.com/,gomastodons.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://gomastodons.com/ | https://gomastodons.com/staff-directory | https://gomastodons.com/facilities | https://gomastodons.com/documents/2024/8/1/Purdue_Fort_Wayne_Athletics_NIL_Policy_7.11.24.pdf | https://gomastodons.com/sports/2010/6/10/FacilityDirections | https://gomastodons.com/documents/2025/10/1/Donations_Request_Form_Oct_1_2025.pdf
IN-0191,IN-0191-A,Purdue University Fort Wayne,,Fort Wayne,,IN,https://www.pfw.edu/,pfw.edu,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.pfw.edu/ | https://www.pfw.edu/faculty-staff | https://www.pfw.edu/academics-research/graduate-programs | https://www.pfw.edu/about-pfw | https://www.pfw.edu/chancellor | https://www.pfw.edu/about-pfw/mission-vision-values-principles | https://www.pfw.edu/about-pfw/history
IN-0192,IN-0192-A,Purdue University Northwest,,Hammond,,IN,https://pnwathletics.com/,pnwathletics.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://pnwathletics.com/ | https://pnwathletics.com/staff-directory | https://pnwathletics.com/facilities | https://pnwathletics.com/sports/2019/9/18/john-friend-court.aspx | https://pnwathletics.com/news/2026/6/8/general-inside-the-numbers-pnw-athletics-2025-26-year-in-review.aspx | https://pnwathletics.com/news/2026/8/6/general-purdue-northwest-athletics-names-ainsley-johnston-director-of-sports-performance.aspx | https://pnwathletics.com/news/2026/6/2/general-pnw-athletics-earns-21st-straight-semester-above-3-0-gpa.aspx
IN-0193,IN-0193-A,Rascal's Fun Zone,,Columbus,,IN,https://rascalsfunzone.com/,rascalsfunzone.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://rascalsfunzone.com/ | https://rascalsfunzone.com/contact-us/ | https://rascalsfunzone.com/advertise-in-our-facility/
IN-0194,IN-0194-A,Recreational Sports,,Bloomington,,IN,https://recsports.indiana.edu/,indiana.edu,Indoor and outdoor,Indoor and Outdoor,No,1,https://recsports.indiana.edu/ | https://recsports.indiana.edu/join-us/memberships.html | https://recsports.indiana.edu/activites/courts.html | https://recsports.indiana.edu/activites/outdoor-adventures/gear-rental.html | https://recsports.indiana.edu/activites/personal-training/personal-training-meet-the-trainers.html | https://recsports.indiana.edu/facilities/index.html | https://recsports.indiana.edu/facilities/srsc.html
IN-0195,IN-0195-A,Regional Opportunity Initiatives,,Bloomington,,IN,https://regionalopportunityinc.org/,regionalopportunityinc.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://regionalopportunityinc.org/ | https://regionalopportunityinc.org/regional-opportunity-initiative/ | https://regionalopportunityinc.org/regional-opportunity-initiative/roi-staff/ | https://regionalopportunityinc.org/contact/ | https://regionalopportunityinc.org/upskill/ | https://regionalopportunityinc.org/ready-communities/plans/ | https://regionalopportunityinc.org/about/swci-strategic-plan/
IN-0196,IN-0196-A,Richmond Family YMCA,1215 S J St,Richmond,,IN,https://richmondfamilyymca.org/,richmondfamilyymca.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://richmondfamilyymca.org/ | https://richmondfamilyymca.org/about-us/membership/ | https://richmondfamilyymca.org/about-us/ | https://richmondfamilyymca.org/programs/ | https://richmondfamilyymca.org/adult-programs/ | https://richmondfamilyymca.org/child-care/ | https://richmondfamilyymca.org/contact/
IN-0197,IN-0197-A,Richmond Indiana Pickleball,,Richmond,,IN,https://www.richmondindianapickleball.com/,richmondindianapickleball.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.richmondindianapickleball.com/ | https://www.richmondindianapickleball.com/about-2 | https://www.richmondindianapickleball.com/members-1-2
IN-0198,IN-0198-A,Rose-Hulman Institute of Technology,,Terre Haute,,IN,https://rose-hulman.edu/,rose-hulman.edu,Indoor and outdoor,Indoor and Outdoor,No,1,https://rose-hulman.edu/ | https://rose-hulman.edu/about-us/community-and-public-services/institutional-advancement/giving.html | https://www.rose-hulman.edu/about-us/get-to-know-rose-hulman/web/index.html | https://rose-hulman.edu/academics/academic-departments/engineering-management/index.html | https://rose-hulman.edu/academics/degrees-and-programs/engineering-design/index.html | https://rose-hulman.edu/academics/index.html | https://rose-hulman.edu/academics/degrees-and-programs/graduate-studies/index.html
IN-0199,IN-0199-A,Samp,486 Southpoint Circle,Brownsburg,46112,IN,https://www.sampshackshack.com/,sampshackshack.com,Indoor and outdoor,Indoor and Outdoor,Yes,2,https://www.sampshackshack.com/ | https://www.sampshackshack.com/aboutus | https://www.sampshackshack.com/indoorfacilities | https://www.sampshackshack.com/memberships | https://www.sampshackshack.com/indoorrentals | https://www.sampshackshack.com/contactus | https://www.sampshackshack.com/join-our-team
IN-0199,IN-0199-B,Samp,1915 Gladden Rd,Plainfield,46168,IN,https://www.sampshackshack.com/,sampshackshack.com,Indoor and outdoor,Indoor and Outdoor,Yes,2,https://www.sampshackshack.com/ | https://www.sampshackshack.com/aboutus | https://www.sampshackshack.com/indoorfacilities | https://www.sampshackshack.com/memberships | https://www.sampshackshack.com/indoorrentals | https://www.sampshackshack.com/contactus | https://www.sampshackshack.com/join-our-team
IN-0200,IN-0200-A,See You In Terre Haute,5353 Margaret Drive,Terre Haute,,IN,https://www.terrehaute.com/,terrehaute.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.terrehaute.com/ | https://www.terrehaute.com/about-us/ | https://www.terrehaute.com/contact/ | https://www.terrehaute.com/plan/about-terre-haute/
IN-0201,IN-0201-A,Southeastern Indiana YMCA,,Batesville,,IN,https://siymca.org/,siymca.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://siymca.org/ | https://siymca.org/programs-and-classes/ | https://siymca.org/our-schedules/program-guide/ | https://siymca.org/programs-and-classes/gymnastics/ | https://siymca.org/programs-and-classes/swim/ | https://siymca.org/programs-and-classes/swim/red-cross-lifeguard-certification/ | https://siymca.org/programs-and-classes/sports/
IN-0202,IN-0202-A,Sport Court Midwest,,Illinois,,IN,https://www.courtofsport.com/,courtofsport.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.courtofsport.com/ | https://www.courtofsport.com/basketball-courts/indoor-basketball-courts/ | https://www.courtofsport.com/volleyball-courts/ | https://www.courtofsport.com/pickleball-courts/ | https://www.courtofsport.com/courts/ | https://www.courtofsport.com/multi-use-outdoor-courts/ | https://www.courtofsport.com/tennis-courts/
IN-0203,IN-0203-A,Sport Court of Indiana,,,,IN,https://sportcourtofin.com/,sportcourtofin.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://sportcourtofin.com/ | https://sportcourtofin.com/commercial/ | https://sportcourtofin.com/residential/sport-court-accessories/ | https://sportcourtofin.com/design-a-court/ | https://sportcourtofin.com/contact-us/ | https://sportcourtofin.com/residential/contact-us/
IN-0204,IN-0204-A,Tennis Count,,Indianapolis,,IN,https://tenniscount.com/,tenniscount.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://tenniscount.com/ | https://tenniscount.com/about | https://tenniscount.com/tennis-courts/new-york/new-york | https://tenniscount.com/tennis-courts/california/los-angeles | https://tenniscount.com/tennis-courts/illinois/chicago | https://tenniscount.com/tennis-courts/texas/houston | https://tenniscount.com/tennis-courts/arizona/phoenix
IN-0205,IN-0205-A,Teter Organic Farm,,Noblesville,,IN,https://teterorganicfarm.com/,teterorganicfarm.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://teterorganicfarm.com/ | https://teterorganicfarm.com/about-us/ | https://teterorganicfarm.com/rentals-and-tours/ | https://teterorganicfarm.com/contact-us/
IN-0206,IN-0206-A,The Bridgewater Club,,Carmel,,IN,https://thebridgewaterclub.com/,thebridgewaterclub.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://thebridgewaterclub.com/ | https://thebridgewaterclub.com/web/pages/racquet-sports | https://thebridgewaterclub.com/web/pages/contact | https://thebridgewaterclub.com/web/pages/contact-us | https://thebridgewaterclub.com/web/pages/membership
IN-0207,IN-0207-A,THE CLUB AT CHATHAM HILLS,1100 Chatham Hills Boulevard,Westfield,46074,IN,https://www.chathamhills.com/,chathamhills.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.chathamhills.com/ | https://www.chathamhills.com/membership | https://www.chathamhills.com/connect/club-hours-and-contacts | https://www.chathamhills.com/membership/membership-inquiry
IN-0208,IN-0208-A,The Club at Holliday Farms,,Zionsville,,IN,https://www.hollidayfarmszionsville.com/,hollidayfarmszionsville.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.hollidayfarmszionsville.com/ | https://www.hollidayfarmszionsville.com/membership | https://www.hollidayfarmszionsville.com/meet-the-team
IN-0209,IN-0209-A,The Community Center @ AFC,,Anderson,,IN,https://afccommunity.org/,afccommunity.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://afccommunity.org/ | https://afccommunity.org/about/
IN-0210,IN-0210-A,The Indianapolis Star,36 S. Pennsylvania St.,Indianapolis,46204,IN,https://www.indystar.com/,indystar.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.indystar.com/ | https://www.indystar.com/story/news/local/about-indystar-indianapolis-news-colts-pacers-fever-entertainment-opinion-politics-breaking-news/86079426007/ | https://www.indystar.com/contact/staff/
IN-0211,IN-0211-A,The Plex,,Fort Wayne,,IN,https://plexsports.com/,plexsports.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://plexsports.com/ | https://plexsports.com/about/ | https://plexsports.com/about/our-mission/ | https://plexsports.com/about/contact-us/ | https://plexsports.com/about/locations/ | https://plexsports.com/about/advertising/ | https://plexsports.com/about/policies-procedures/
IN-0212,IN-0212-A,thehaute,,Terre Haute,,IN,https://www.thehaute.life/,thehaute.life,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.thehaute.life/ | https://www.thehaute.life/about-terre-haute
IN-0213,IN-0213-A,Top Local Businesses and places,795 W Market St,Warsaw,46580,IN,https://www.businessyab.com/,businessyab.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.businessyab.com/
