Facility ID,Location ID,Facility Name,Branch Street,Branch City,Branch ZIP,State,Website,Company Domain,Indoor Court Status,Qualification Status,Is Multi Location,Location Count,Source URLs
OR-0198,OR-0198-A,Youth Activities at NCRD,,Nehalem,,OR,https://www.ncrd.org/,ncrd.org,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.ncrd.org/ | https://www.ncrd.org/about | https://www.ncrd.org/community-center-rentals | https://www.ncrd.org/fitness-center | https://www.ncrd.org/aquatics | https://www.ncrd.org/performing-arts-center | https://www.ncrd.org/youth-activities
OR-0199,OR-0199-A,"Best Gym in Eugene | Eugene, OR | Downtown Athletic Club",999 Willamette St,Eugene,97401,OR,https://www.downtownac.com/,downtownac.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://www.downtownac.com/ | https://www.downtownac.com/hours/ | https://www.downtownac.com/membership/ | https://www.downtownac.com/membership/guestpass/ | https://www.downtownac.com/join/student-membership/ | https://www.downtownac.com/amenities/ | https://www.downtownac.com/membership/corporate-wellness/ | https://www.downtownac.com/about/ | https://www.downtownac.com/faqs/ | https://www.downtownac.com/fitness/courts/ | https://www.downtownac.com/gymnasium-schedule/ | https://www.downtownac.com/train-inside-play-outside-your-eugene-summer-starts-at-the-dac/ | https://www.downtownac.com/fitness-pool-schedule/
OR-0200,OR-0200-A,Portland Basketball,,,,OR,https://portlandbasketball.com/,portlandbasketball.com,Indoor,Confirmed Indoor,No,1,https://portlandbasketball.com/ | https://portlandbasketball.com/picktoplay.php | https://portlandbasketball.com/tournaments.php | https://portlandbasketball.com/Directions.php | https://portlandbasketball.com/gym-rentals.php | https://portlandbasketball.com/moda_center_game.php | https://portlandbasketball.com/faq.php | https://portlandbasketball.com/player-waiver.php | https://portlandbasketball.com/volleyball.php
OR-0201,OR-0201-A,Rackets Academy,,,,OR,https://racketsacademy.com/,racketsacademy.com,Indoor,Confirmed Indoor,No,1,https://racketsacademy.com/ | https://racketsacademy.com/tournaments | https://racketsacademy.com/locations | https://racketsacademy.com/about | https://racketsacademy.com/about/faq | https://racketsacademy.com/about/gallery | https://racketsacademy.com/injury-prevention-in-tennis-what-rackets-academy-does-to-keep-players-healthy | https://racketsacademy.com/how-tennis-can-improve-your-fitness | https://racketsacademy.com/about/code-of-conduct | https://racketsacademy.com/about/terms-conditions
OR-0202,OR-0202-A,South Valley Athletics,,,,OR,https://southvalleyathletics.org/home,southvalleyathletics.org,Indoor,Confirmed Indoor,No,1,https://southvalleyathletics.org/home | https://southvalleyathletics.org/locations | https://southvalleyathletics.org/TimeOut.htm?aspxerrorpath=/Org/Locations.aspx
OR-0203,OR-0203-A,The YMCA of Klamath Falls,316 Main Street,Klamath Falls,97601,OR,https://www.kfallsymca.org/,kfallsymca.org,Indoor and outdoor,Indoor and Outdoor,Yes,4,https://www.kfallsymca.org/ | https://www.kfallsymca.org/our-y/about-us | https://www.kfallsymca.org/locations | https://www.kfallsymca.org/index.php | https://www.kfallsymca.org/membership/member-newsletter-archive | https://www.kfallsymca.org/membership/aquatic-fitness-center-amenities | https://www.kfallsymca.org/membership/child-watch | https://www.kfallsymca.org/membership/membership-handbook-policies | https://www.kfallsymca.org/forms/facility-rental-request | https://www.kfallsymca.org/membership/membership-discounts | https://www.kfallsymca.org/membership/ymca-nationwide-membership
OR-0203,OR-0203-B,The YMCA of Klamath Falls,1221 S. Alameda Ave.,Klamath Falls,97603,OR,https://www.kfallsymca.org/,kfallsymca.org,Indoor and outdoor,Indoor and Outdoor,Yes,4,https://www.kfallsymca.org/ | https://www.kfallsymca.org/our-y/about-us | https://www.kfallsymca.org/locations | https://www.kfallsymca.org/index.php | https://www.kfallsymca.org/membership/member-newsletter-archive | https://www.kfallsymca.org/membership/aquatic-fitness-center-amenities | https://www.kfallsymca.org/membership/child-watch | https://www.kfallsymca.org/membership/membership-handbook-policies | https://www.kfallsymca.org/forms/facility-rental-request | https://www.kfallsymca.org/membership/membership-discounts | https://www.kfallsymca.org/membership/ymca-nationwide-membership
OR-0203,OR-0203-C,The YMCA of Klamath Falls,3625 Summers Ln.,Klamath Falls,97603,OR,https://www.kfallsymca.org/,kfallsymca.org,Indoor and outdoor,Indoor and Outdoor,Yes,4,https://www.kfallsymca.org/ | https://www.kfallsymca.org/our-y/about-us | https://www.kfallsymca.org/locations | https://www.kfallsymca.org/index.php | https://www.kfallsymca.org/membership/member-newsletter-archive | https://www.kfallsymca.org/membership/aquatic-fitness-center-amenities | https://www.kfallsymca.org/membership/child-watch | https://www.kfallsymca.org/membership/membership-handbook-policies | https://www.kfallsymca.org/forms/facility-rental-request | https://www.kfallsymca.org/membership/membership-discounts | https://www.kfallsymca.org/membership/ymca-nationwide-membership
OR-0203,OR-0203-D,The YMCA of Klamath Falls,3001 Main Street,Bonanza,97623,OR,https://www.kfallsymca.org/,kfallsymca.org,Indoor and outdoor,Indoor and Outdoor,Yes,4,https://www.kfallsymca.org/ | https://www.kfallsymca.org/our-y/about-us | https://www.kfallsymca.org/locations | https://www.kfallsymca.org/index.php | https://www.kfallsymca.org/membership/member-newsletter-archive | https://www.kfallsymca.org/membership/aquatic-fitness-center-amenities | https://www.kfallsymca.org/membership/child-watch | https://www.kfallsymca.org/membership/membership-handbook-policies | https://www.kfallsymca.org/forms/facility-rental-request | https://www.kfallsymca.org/membership/membership-discounts | https://www.kfallsymca.org/membership/ymca-nationwide-membership
OR-0204,OR-0204-A,Timberhill Athletic Club in Corvallis Oregon,,Corvallis,,OR,https://timberhillac.com/,timberhillsports.com,Indoor and outdoor,Indoor and Outdoor,No,1,https://timberhillac.com/ | https://timberhillac.com/about-us/ | https://timberhillac.com/amenities/ | https://timberhillac.com/amenities/group-exercise/ | https://timberhillac.com/amenities/courts/ | https://timberhillac.com/amenities/personal-training/ | https://timberhillac.com/amenities/swim/ | https://timberhillac.com/kids-playroom/ | https://timberhillac.com/members/ | https://timberhillac.com/contact-us/ | https://timberhillac.com/join/ | https://timberhillac.com/category/gym/
